Brand,model,kmDriven,Transmission,Owner,FuelType,Car_Age
Jaguar,F-Pace,54944.0,Automatic,second,Diesel,7
Honda,Brio,50000.0,Manual,second,hybrid,13
Kia,Sonet,77000.0,Manual,first,Diesel,5
Hyundai,Alcazar,32000.0,Automatic,first,Petrol,5
Maruti Suzuki,Alto-K10,68000.0,Manual,first,Hybrid/CNG,11
Maruti Suzuki,Alto-K10,118000.0,Manual,second,hybrid,10
Hyundai,EON,110000.0,Manual,first,Petrol,13
Tata,Indigo Ecs,20.0,Manual,second,Diesel,10
Hyundai,i10,55000.0,Automatic,second,Hybrid/CNG,16
Maruti Suzuki,Wagon-R,46000.0,Automatic,first,Petrol,7
Skoda,Octavia,106000.0,Automatic,second,Petrol,11
Maruti Suzuki,Celerio,78000.0,Automatic,second,Petrol,11
Jeep,Wrangler,10000.0,Automatic,first,Petrol,3
Ford,Free Style,18000.0,Manual,second,Petrol,7
Maruti Suzuki,Ertiga,52428.0,Manual,first,hybrid,5
Maruti Suzuki,Wagon-R,140000.0,Manual,first,Hybrid/CNG,9
Toyota,Fortuner,9000.0,Automatic,first,Diesel,2
Maruti Suzuki,Swift,50000.0,Automatic,second,Hybrid/CNG,15
Hyundai,Fluidic Verna,76000.0,Automatic,first,Diesel,8
Honda,City,65000.0,Automatic,second,hybrid,9
Honda,City,90000.0,Manual,second,Diesel,12
Tata,Tiago,87000.0,Manual,second,Diesel,9
Maruti Suzuki,Baleno,16000.0,Automatic,first,Petrol,4
Mercedes-Benz,GLE COUPE,16000.0,Automatic,first,Petrol,5
Mahindra,KUV 100,76000.0,Manual,first,Diesel,10
Maruti Suzuki,Sx4,107000.0,Automatic,second,Petrol,16
Maruti Suzuki,Celerio,79000.0,Automatic,second,Petrol,11
Land Rover,Defender,12000.0,Automatic,second,Petrol,3
Skoda,Rapid,140000.0,Manual,second,Diesel,8
Maruti Suzuki,Vitara-Brezza,30000.0,Manual,first,Petrol,4
Tata,Tiago,33000.0,Automatic,first,Hybrid/CNG,7
Mahindra,XUV500,88500.0,Manual,second,Diesel,14
Chevrolet,Beat,21000.0,Manual,first,Petrol,13
Maruti Suzuki,Eeco,58100.0,Automatic,first,hybrid,7
Renault,Lodgy,119000.0,Manual,first,Diesel,10
Mahindra,Bolero,71000.0,Manual,second,Diesel,16
Hyundai,Elite i20,30300.0,Manual,first,Petrol,9
Honda,City,70000.0,Automatic,second,hybrid,11
Maruti Suzuki,Swift-Dzire,175000.0,Manual,second,Diesel,13
Maruti Suzuki,Wagon-R,62000.0,Manual,first,Petrol,7
Honda,City ZX,71000.0,Automatic,second,hybrid,10
Maruti Suzuki,Wagon-R,,Automatic,first,hybrid,10
Lexus,RX,132000.0,Automatic,first,Hybrid/CNG,8
Honda,Jazz,93000.0,Automatic,second,hybrid,10
